Year,State,District,Contractor,Contract,Mod Number,NASA Center,Place of Performance,Award Date,Completion Date,Award Type,Contractor Type - Indicators,Obligations,Change in Award Value,NAICS Code,TAS Code,Solicitation ID,Solicitation POC,Description
2023,HI,HI-02,California Association For Research In Astronomy,80NSSC18M0066,Modification P00012,NSSC - NASA Shared Services Center,"KAMUELA, HI (District 02)",04/13/2023,02/28/2023, Cooperative Agreement,"Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization","$249,148",$0,[None Indicated],,,,"This proposal to NASA BY the california association for research in astronomy (CARA) dba w. m. keck observatory (WMKO) is for renewal of the cooperative agreement award for support of NASA missions and NASA scientific research at WMKO, which operates the world s two (2) largest steerable optical and infrared telescopes on the summit of maunakea on the island of hawaii. NASA utilizes one-sixth of the annual operation capability of WMKO, having invested one-sixth of the capital costs and one-sixth of the operations costs since circa 1996. there has been a wealth of scientific results coming from the DYNAMIC scientific relationship between NASA missions such AS hubble space telescope (hst), spitzer, kepler, k2, chandra, herschel, WISE, galex, voyager, galileo, deep impact, cassini, new horizons, and the keck observatory. we propose here to extend that productive relationship to future NASA missions jwst, TESS, wfirst, euclid, mars 2020, and other MIDEX, SMEX, discovery, and new frontiers missions. the link between NASA and WMKO is powerful. NASA s space based discoveries inform and are informed BY the findings of its ground based partner, the w. m. keck observatory. NASA related projects are proposed BY the us community to nexsci and are awarded observing time provided BY NASA. this has proven productive in the past. a PRIME example is when kepler discovered objects transiting stars, WMKO undertook key observations that established that the candidate exosolar planets were indeed valid exosolar planets, and measured their masses, leading to the achievement of one of NASA s level 1 science goals: making a census of planetary systems down to the level of earth-sized planets. when spitzer and hst both detected an object in the distant universe, WMKO delivered the exact redshift of 8.68, well within the region that was thought to be the dark age before reionization. the research program enabled BY the NASA/WMKO partnership maps directly to the astrophysical and planetary priorities of NASA: the origin and evolution of the universe, the processes for life on other planets, the processes of formation of stars, galaxies, and planets, and the content, origin, and evolution of the SOLAR system and the potential for life elsewhere. the scope of the astrophysics and planetary science is breathtaking, ranging from the birth of the universe and the development of stars and galaxies over cosmic time, to the search for life on planets around other stars, to the formation, evolution, and possibility of life on other planets in our own SOLAR system. the two 10-meter primary apertures, diverse instrument suite including adaptive optics and the superb location on maunakea make WMKO an extraordinarily powerful and unique facility for addressing the research areas described above. additionally, WMKO CAN react quickly to NASA mission needs, rearranging nights on short notice. the track record of discoveries BY scientists using the WMKO in conjunction with NASA missions over the last two (2) decades gives strong testimony to that CASE. the program corresponding to NASA s in-guide funding amount provides NASA one-sixth of WMKO operations support and, in collaboration with the NASA exoplanet science institute (nexsci), WMKO will continue its Keck Observatory Archive (KOA) activities. in addition, we submit here an over-guide that allows for the development of data reduction pipelines (drps) over a period of five (5) years, to speed the reduction of new data with improved tools and to ACCESS the information inherent in 25 years of  the keck sky  easily and efficiently for all users. this proposal consolidates all direct NASA support for WMKO into one award."
2023,CA,CA-16,Bay Area Environmental Research Institute,80NSSC19M0193,Modification P00012,NSSC - NASA Shared Services Center,"MOUNTAIN VIEW, CA (District 16)",05/23/2023,07/31/2023, Cooperative Agreement,"Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization","$89,445",$0,[None Indicated],,,,"For over three decades, NASA has continuously funded laboratory astrophysics and astrochemistry work at ames focused on measuring and computing the spectra of polycyclic aromatic hydrocarbons (pahs). during this time, the experimental facilities have evolved and diversified into several laboratories within the ames astrophysics and astrochemistry group. these facilities now cover a broad range of wavelengths (UV-tofir) and are set to address a wide scope of astrophysical issues of interest to both the astrophysics division and the planetary science division at NASA. the group now provides spectral diagnostics, theoretical calculations, and analytical tools for species ranging from free flying molecules to ices and dust particles present in interstellar, circumstellar and planetary environments. motivated to enable the scientific community to conduct research supporting NASA projects and missions such AS the kao (initially), then spitzer and SOFIA, and soon jwst, this ongoing effort has culminated in the NASA ames PAH IR spectroscopic database (pahdb), a NASA database containing thousands of infrared PAH spectra coupled to a set of innovative astronomical models and tools."
2023,CA,CA-16,Seti Institute,NNX16AB90A,Modification 9,NSSC - NASA Shared Services Center,"MOUNTAIN VIEW, CA (District 16)",02/01/2023,01/03/2022, Cooperative Agreement,"Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization","$-754,689","$-754,689",[None Indicated],,,,"Reaching for the stars: NASA science for girl scouts a.k.a. girl scout stars brings together girl scouts gs, their volunteers and adult leaders with NASA science mission directorates research and discoveries through an informal education program. our goal is to integrate girl scout stars throughout the gs national movement for girls in grades k-12, including the creation of a new astronomy badge at every girl scout age level. with best practices, we engage girls and leaders with the fundamental science, technology, engineering and mathematics STEM understandings that underpin our human quest to explore the universe. through early and sustained exposure to the people and assets of NASA and the excitement of nasas mission, girls and leaders explore STEM content, discoveries, and careers. girl scout stars partners are experienced formal and informal gs STEM educators: seti institute PI e. devore, astronomical society of the pacific asp, s. gurton, University of Arizona u of az, d. mccarthy and l. lebofsky, and adnet l. mayo at Goddard Space Flight Center. mayo has trained gs leaders and supports 150 after school astronomy clubs worldwide. since 2002, u of azs has trained 250 gsusa leaders 80 councils in 41 states in a nircam jwst outreach program, and brings this strong network to girl scout stars. in partnership with girl scouts of northern california gsnc, m. park and j. fahy, we develop, test, publish, and provide online training. to assure DYNAMIC content, we link to resources such AS nasas wavelength, image of the day, astronomy and earth science picture of the day. the girl scouts of the united states of america gsusa, g. love, k. kokjohn poehler, w. friedman, and s. swanson are implementing 21st century learning technologies with a new volunteer toolkit for gs leaders working with 5 to 11 year-old girls expanding later for leaders of 12 to 17 year old girls. traditional paper publications are moving online for todays tech savvy gs leaders who prefer just in time materials and asynchronous learning. we understand the wealth of materials available through NASA and our organizations we will adapt rather than reinvent effective activities. the gsnc leads dissemination of girl scout stars to the over 100 other gs councils with support of gsusa. through professional development of gs leaders, girl scout stars enhances public science literacy. girl scout stars supports national STEM education and public science literacy through informal, out-of-school experiences. gs leaders and girls benefit. the training for leaders and the girl scout stars materials support troop activities and camp-outs for the younger girls. for older girls, we enhance summer camp activities, support in-depth experiences like the u of azs astronomy camp and destination events like the total SOLAR eclipse in 2017. we partner with the night sky network NSN to engage amateur astronomers with gs, a benefit for both organizations. NSN clubs seek ways to interest young people, especially girls, in amateur astronomy, and gs benefit from the knowledge and telescopes of the NSN: a win-win partnership. asp manages NSN and provides training in best practices for working with girls and leaders. in parallel with the development of girl scout stars for the younger gs, the u of az adult leader astronomy camp, and leadership training are conducted PI and co-is.    reach:  there are 2,000,000 girl scouts and 800,000 volunteer leaders in the USA. three quarters 1.5 million are ages 5 to 11. these young girls and their leaders are our primary audience.  initially, we work with the gsnc 50,000 girl members and 31,000 volunteers we EXPAND across the USA via the network of gs councils over five years. girl scout stars supports smds science education objectives and nasas STEM engagement and Educator Professional Development lines of business. the girl scout research institute at gsusa leads program evaluation."
2023,NY,NY-25,Rochester Institute Of Technology (Inc),80NSSC18K0297,Modification P00005,NSSC - NASA Shared Services Center,"ROCHESTER, NY (District 25)",02/14/2023,12/31/2021,"Grant, Grant For Research","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$-3,338","$-3,338",[None Indicated],,,,"We propose to develop commercially available digital micromirror devices (dmds) for use in the FAR Ultraviolet (fuv) and NEAR Ultraviolet (nuv) regimes of 100 nm   400 nm, using recently developed fuv mirror coatings. dmds CAN be used AS rapidly reconfigurable  slit mask  object-selectors in space-based UV multi object spectrometers (mos). currently, dmds are the only alternative to microshutter arrays, which were developed for the infrared mos on the james webb space telescope. the need for an efficient UV mos has been identified AS a priority 1 technological gap BY the general community, according to the Cosmic Origins 2016 program annual technology report. there are several missions currently in the planning process, which are developing concepts for multi-object spectrometers. for example both luvoir and habex plan to include such an instrument, working into the UV. several smaller dedicated spectroscopic survey missions based around a highly multiplexed spectrometer have also been proposed. the choice of slit selector for such instruments is limited. while microshutter arrays are currently viewed AS the frontrunner, the previous generation of microshutters has limitations and the next generation is still in early development. we have worked extensively on space qualification of the texas instruments dmds and have shown the current generation of these devices to be ideal for space applications. however the deep UV (100 nm -300 nm) reflectivity of such devices needs to be substantially higher. we will re-coat commercially available dmds (which use aluminum alloy mirrors) with high reflectivity aluminum, which is protected BY an overcoat using recently developed fuv-enhanced thin films (lif and alf3). these protected aluminum coatings were developed to have a high reflectivity in the fuv range of 100 nm   300 nm BY two recent SAT projects. this work will build on our own previous SAT-funded efforts to determine the usability of dmds in space and to extend their use into the nuv range of 200 nm   400 nm. AS PART of this work we will produce re-coated dmds with a high reflectivity in the fuv (with and without a protective window) and investigate the susceptibility of these devices to damage due to long exposures to highly energetic fuv photons. dmds that operate in the fuv range will provide an alternative to microshutter arrays and help close a critical technology gap in fuv/nuv astronomy."
2023,KY,KY-06,University Of Kentucky,80NSSC18K0525,Modification P00006,NSSC - NASA Shared Services Center,"LEXINGTON, KY (District 06)",07/18/2023,02/14/2023,"Grant, Grant For Research","Educational - 1862 Land Grant College, Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization","$-12,623","$-12,623",[None Indicated],,,,"The launch of the james webb space telescope (jwst) will mark an exciting new round of discovery in the study of active galactic nuclei (agn), starburst galaxies, and protogalaxies."
2023,PA,PA-12,"Pennsylvania State University, The",80NSSC18K1114,Modification P00003,NSSC - NASA Shared Services Center,"UNIVERSITY PARK, PA (District 12)",11/29/2022,08/31/2019,"Grant, Grant For Research","Educational - 1862 Land Grant College, Corporate Entity Tax Exempt, Educational Institution, Other Not For Profit Organization","$-6,491","$-6,491",[None Indicated],,,,"The Transiting Exoplanet Survey Satellite (TESS), set to launch in march, will perform a two-year all-sky survey with the primary goal of detecting small neptune and earth-like analogues around bright, nearby stars. the resulting set of extrasolar planets will serve AS targets for nasas james webb space telescope (jwst) to observe and characterize their atmospheres. this proposal will create a large, ground-based, high-precision spectroscopic follow-up program to robustly vet TESS objects of interest (tois). tois are systems which show a transit and may be genuine exoplanets. while the TESS team and the astrophysical community have developed some ideas for vetting, this proposal greatly complements the existing tools BY bringing in new observational instruments adept for classifying and dynamically characterizing tois. this proposal will use the apache point observatory galaxy evolution experiment (apogee) spectrograph on the sloan foundation 2.5-meter telescope, the habitable zone planet finder (hpf) on the hobby-eberly telescope, and the NASA/NSF sponsored nnexplore exoplanet investigations with doppler spectroscopy (neid) spectrograph on the wiyn telescope. apogee is capable of observing 300 stars simultaneously at a precision necessary to  if a toi is an exoplanet or an astrophysical false positive. it has currently observed over 70,000 TESS stars, most with multiple observations. hpf and neid CAN only observe one target but at the precision necessary to derive precise exoplanets masses. apogee data will cull a large number of tois to define a subset of TESS stars hosting true planets in need of further characterization BY hpf and neid. the end product is a subset of tois with precise dynamical masses and radii that CAN be observed BY jwst. this proposal is directly aligned with the theme of exoplanet exploration within the solicitation and the broader goals of NASA to discover and study planets around other stars and explore whether they could harbor life. there is a direct application to the success of TESS and jwst, two current NASA missions, BY providing a set of verified exoplanets with precise masses and radii. future programs, such AS the proposed missions contribution to the atmospheric remote-sensing exoplanet large-survey spectroscopy of exoplanets (CASE) or fast infrared exoplanet spectroscopy survey explorer (finesse), which are designed to explore the atmosphere of ed exoplanets, will also benefit from the results from this proposal BY conserving limited observation time for the highest priority planets"
2023,AZ,AZ-04,Arizona State University,80NSSC19K0293,Modification P00005,NSSC - NASA Shared Services Center,"TEMPE, AZ (District 04)",04/22/2023,02/19/2024,"Grant, Grant For Research","Educational - Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity",$0,$0,[None Indicated],,,,"The field of exoplanet atmospheres has matured enough to the point where we CAN begin to ask fundamental questions regarding planetary climate, composition, atmosphere-planet formation links, and provide context for understanding our own SOLAR system planets. the community has leveraged the power of numerous ground and space based observatories to characterize a diverse range of planets ranging from hot jupiters to terrestrial sized, potentially Habitable Worlds. much of the atmospheric characterization work to date has focused on results from low dispersion spectroscopy (lds) and photometry from space-based instruments like the hubble and spitzer space telescopes. while we owe much of our exoplanetary atmosphere insights from such observations, they are limited in the accessibility of certain molecules and atmospheric regions probed, due to low resolution and sparse wavelength coverage. jwst will solve many of these problems, however it is a limited resource and it is prudent that we have independent and robust alternative methods that leverage numerous ground-based facilities an exciting emerging approach for characterizing atmospheres is high dispersion cross-correlation spectroscopy (hdccs). hdccs leverages the large number of molecular lines attainable at high resolutions (r&gt;30,000) and large ground bases apertures to robustly detect molecules. this is the only method to have robustly detected carbon-based molecules in transiting exoplanet atmospheres. however, little work has focused on the ability to constraint the abundances of molecules, vertical temperature structures, and other fundamental atmospheric properties from hdccs data in a rigorous way. one of the primary challenges in doing so is placing the hdccs within a robust atmospheric retrieval framework, a widely applied key tool in lds data interpretation. our team has recently pioneered placing hdccs and lds within in a common retrieval framework to maximize atmospheric constraints. additionally, recently commissioned instruments such AS carmenes, giano, ishell, igrins, and espresso have greatly improved the prospects of atmospheric constraints from hdccs observations. we propose to leverage the power of hdccs combined with bayesian atmospheric retrieval methodologies to:-determine previously undetermined bayesian confidence intervals on atmospheric properties (molecular composition, thermal structures, elemental ratios) derived from current archival high-resolution datasets of transiting planets, such AS those from vlt crires and keck nirspec. -develop a unified bayesian retrieval framework that combines lds (r&lt;~5,000,e.g., hst, jwst) and hdccs, AS well AS identify the strengths and weaknesses of each method. -investigate the potential constraints for molecules presumed to be present in temperate terrestrial planets and identify high resolution wavelength regimes that are most amenable to precision abundance constraints, with applications to the next generation of large telescopes like tmt and gmt. we will explore these objectives within the context of all transit geometries and wavelength regimes, including transmission, emission, phase resolved, and reflected light. our team is uniquely suited to accomplish these goals both from a hddccs and lds data analysis perspective AS well AS the theoretical modeling. the proposed work will directly address the NASA xrp goal of understanding exoplanetary systems BY refining and stress testing the key tools used to characterize exoplanets and their atmospheres in order to inform target and operational choices for current NASA missions, and/or targeting, operational, and formulation data for future NASA observatories . application of this unified framework will allow us to gain a better idea of the data required to understand the chemical and physical processes of exoplanets (including the state and evolution of their atmospheres)"
2023,CO,CO-02,"Regents Of The University Of Colorado, The",80NSSC19K0345,Modification P00009,NSSC - NASA Shared Services Center,"BOULDER, CO (District 02)",02/10/2023,03/31/2023,"Grant, Grant For Research","Educational - Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity","$100,000",$0,[None Indicated],,,,"We will carry out these aims with two additional launches of the payload developed under the predecessor award, and the development and flight testing of the new ifs instrument. all work will be performed in a university environment with a long history of postdoctoral and student training in UV astrophysics, heliophysics, and planetary science. in the FIRST two years of the proposed work, we will fly the dual-channel Extreme Ultraviolet continuum experiment (deuce) payload twice: FIRST to complete the ionizing radiation census of local b stars, and then to obtain the FIRST EUV spectra of the nearest main-sequence stars. our group recently completed the FIRST flight of deuce to observe the ionizing spectrum of one of the only two b-stars with sufficiently low intervening neutral hydrogen column: beta canis majoris. a NASA vehicle subsystem failure prevented successful target acquisition on this flight, so in year 1 of the proposed work we will launch deuce to recover the original science mission. in year 2, we will fly deuce from australia to obtain the FIRST 500 - 900 angstrom spectrum of the potential exoplanet host stars alpha centauri a and b. the long-term stability of rocky planet atmospheres is driven BY EUV radiation from their parent stars, although this quantity is almost completely unconstrained BY direct observation. deuce will constrain the exoplanet climate models used to interpret the FIRST atmospheric spectra of earth-like planets that will be obtained in the coming decades with jwst, luvoir/ habex, and other forthcoming NASA missions."
2023,HI,HI-01,University Of Hawaii Systems,80NSSC19K0597,Modification P00004,NSSC - NASA Shared Services Center,"HONOLULU, HI (District 01)",04/22/2023,02/25/2024,"Grant, Grant For Research","Educational - Educational Institution, Native Hawaiian Servicing Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity",$0,$0,[None Indicated],,,,"The kepler/k2 mission has revolutionized asteroseismology BY detecting oscillations in thousands of stars from the main-sequence to the RED giant branch. BY providing accurate radii, masses and ages, these stars have become benchmarks for addressing problems in stellar astrophysics, exoplanet science and galactic astronomy, such AS age-rotation relationships for SOLAR-type stars, the composition of super-earth sized planets, and the study of galactic stellar populations. however, our sample of dwarfs and subgiants with asteroseismic data is small because detection requires scarce short cadence imaging, and only a fraction of the short cadence targets in kepler have been characterized. BY contrast, there is a rich data set of RED giant asteroseismology from kepler and k2, but the dwell time for k2 and TESS is too short to detect asteroseismic signals directly in luminous and scientifically interesting targets. in this proposal we address both problems, capitalizing on the vastly improved classification of kepler/k2 targets provided BY gaia parallaxes. we will FIRST dramatically increase the size of the high-quality dwarf and subgiant asteroseismic sample from kepler. we propose a homogeneous analysis of the recently re-processed q1-17 kepler short-cadence data, which corrected data calibration errors that affected prior seismic analysis efforts. for dwarfs and subgiants we will combine well tested frequency-autocorrelation methods with ground-based spectroscopy and adaptive optics imaging to compile a legacy catalog of asteroseismic observables, fundamental parameters, and possible companion stars. furthermore we will calibrate stellar granulation diagnostics of surface gravity for high luminosity giants using data from the original kepler mission, star clusters and gravities from ground-based spectroscopic surveys. BY applying this novel technique to 12500 high-luminosity giants we will significantly increase the reach of galactic populations studied BY k2. our novel method will also be a pathfinder for analogous applications to thousands of high-luminosity giants observed with TESS. combined, these datasets will allow us to 1) investigate variations in age-rotation relationships (gyrochronology) for SOLAR-type stars, 2) identify new asteroseismic exoplanet host stars to validate exoplanet population trends such AS the ""hot super-earth desert"" and the gap between super-earth and sub-neptune sized planets, 3) test the relation between stellar multiplicity and oscillation amplitudes and 4) discover distant, high-luminosity HALO giants observed BY k2, potentially leading to an ensemble age measurement of the galactic HALO. our program will provide legacy data products for asteroseismic kepler/k2 stars, including power spectra, asteroseismic observables, and fundamental parameters. these products will be of enormous value for a variety of topics in stellar astrophysics and exoplanet science, including gyrochronology, tests of stellar interior models, and calibrations of indirect methods such AS spectroscopy. benchmark stars with well determined fundamental properties are also essential for the accurate characterization of exoplanets with future NASA missions such AS TESS, jwst and wfirst."
2023,MA,MA-05,Smithsonian Institution,80NSSC19K0698,Modification P00004,NSSC - NASA Shared Services Center,"CAMBRIDGE, MA (District 05)",03/01/2023,03/25/2024,"Grant, Grant For Research",Non-Profit Institutions - Nonprofit Organization,$0,$0,[None Indicated],,,,"Astronomical observations in the mid/FAR-infrared wavelengths continue to advance our understanding of the evolution of stars and galaxies. the fine structure emission lines in the mid/FAR-infrared wavelengths arising from, for example, highly-charged atomic ions (mid-IR) and oxygen atoms (FAR-IR) are important targets of observations with the NASA astrophysics missions jwst and/or SOFIA, AS well AS the archival past missions herschel, spitzer, and the infrared space observatory (ISO). in the CASE of ions, because they are created BY high energy phenomena originating in cores and shocks of astronomical objects, their fine structure lines bridge data from these missions to data from, for example, chandra, AS well AS to optical data from hst. the fine structure emission lines are highly valued diagnostics of energies and densities in galaxies, planetary nebulae, and stars and AS probes of warm gases in circumstellar disks and outflows. diagnostic values of the fine structure emission lines depend on the ionization potentials of the ions AS well AS their fine structure transitions (leading to emission lines) in response to collisions with electrons, hydrogen atoms, and other species. we will provide reliable calculations of fine structure changing collisions of [o i] and h, [ne II] and h, and [ne III] and h using a fully quantum-mechanical scattering approach. the associated excitation and cooling rate coefficients will be applicable to modeling of astrophysical phenomena observed using mid/FAR-infrared astronomical spectroscopy and traced through gas around active galactic nuclei and irradiated protoplanetary disks, with particular relevance to jwst/MIRI, including several early release science projects. the data will lead to better models of ionic fine structure lines AS diagnostics of astrophysical environments using spectroscopic observations from air- and space-borne missions in the mid- and FAR-infrared wavelengths."
2023,IL,IL-09,Northwestern University,80NSSC19K1523,Modification P00003,NSSC - NASA Shared Services Center,"EVANSTON, IL (District 09)",01/25/2023,12/31/2021,"Grant, Grant For Research","Educational - Educational Institution, Nonprofit Organization, Private University Or College","$-5,188","$-5,188",[None Indicated],,,,"The search for life beyond earth is one of the cornerstone questions in the planetary science community, and a primary motivation behind a range of NASA's ground-based and space-bourne missions. in the NEAR future, the james webb space telescope and direct imaging missions (e.g., luvoir and habex) will characterize the atmospheres of nearby rocky exoplanets."
2023,MD,MD-04,University Of Maryland,80NSSC20K0269,Modification P00004,NSSC - NASA Shared Services Center,"COLLEGE PARK, MD (District 04)",06/13/2023,12/31/2022,"Grant, Grant For Research","Educational - 1862 Land Grant College, Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity",$0,$0,[None Indicated],,,,"The proposed work is relevant to the xrp call, AS it directly addresses open questions about atmospheric chemistry, surface physics, radiation, energy content and dynamics for rocky exoplanets in a self-consistent way. it will allow us to maximize the scientific returns of NASA's TESS mission BY improving our understanding of possible climates on rocky planets and serving AS a fundamental basis for future follow-up observations of those planets with NASA's jwst."
2023,NY,NY-25,University Of Rochester,80NSSC20K0622,Modification P00004,NSSC - NASA Shared Services Center,"ROCHESTER, NY (District 25)",12/29/2022,04/30/2023,"Grant, Grant For Research","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College",$0,$0,[None Indicated],,,,"We will produce the FIRST entries in a library of spectroscopic signs of extraterrestrial technology ( technosignatures"") and develop a theoretical and modeling framework for populating the library. our long-term goal is to use this library to develop a comparative framework for evaluating both the strength and non-ambiguity of proposed non-radio technosignatures in exoplanetary spectroscopy from NASA missions such AS jwst, AS they begin to search for signs of life in transmission and, eventually, reflection spectra of exoplanets."
2023,SC,SC-06,University Of South Carolina,80NSSC20K0887,Modification P00006,NSSC - NASA Shared Services Center,"COLUMBIA, SC (District 06)",05/25/2023,05/31/2024,"Grant, Grant For Research","Educational - Educational Institution, Nonprofit Organization, State Controlled Institution of Higher Learning",$0,$0,[None Indicated],,,,"Interstellar Dust makes up a tiny fraction of the baryonic mass of a galaxy, but it CAN greatly alter the galaxy s appearance BY reddening and attenuating the light emitted BY the galaxy. moreover, dust influences the physical properties of the gas in the galaxy BY affecting processes such AS cooling and molecule formation. given the importance of dust, it is crucial to understand its nature and formation, and to correct for its effects while inferring properties of stars and galaxies from observations. it is especially critical to understand dust in the distant universe, in order to interpret future observations of distant galaxies with upcoming facilities such AS the james webb space telescope."
2023,CA,CA-19,"University Of California, Santa Cruz",80NSSC22K0236,Modification P00001,NSSC - NASA Shared Services Center,"SANTA CRUZ, CA (District 19)",05/15/2023,12/31/2024,"Grant, Grant For Research","Educational - 1862 Land Grant College, Educational Institution, Hispanic Servicing Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity","$124,556",$0,[None Indicated],,,,"Objectives: the goal of this theoretical proposal is to systematically investigate the formation, distribution and observational consequences of haze and clouds (aerosols) on warm and hot tidally locked exoplanets, such AS hot jupiters and warm neptunes. haze and clouds are ubiquitous in exoplanetary atmospheres. they exhibit complex behaviors and have significant influences on transmission, emission and reflection spectra and light curve observations. recent aerosol formation models have demonstrated the importance of bin-scheme microphysics and fractal aggregate physics to interpret the observations from hubble space telescope (hst) and spitzer telescope collected in the past decade. but the detailed microphysical mechanisms and their impacts on interpretations of the observational data remain poorly understood. this will significantly hinder the understanding of the highquality data in the upcoming james webb space telescope (jwst) era. in this project, we plan to achieve three specific objectives: (1) understanding the inhomogeneous spatial distribution and size distribution of aerosol particles on tidally locked gas giants with equilibrium temperatures, different metallicities, and transport processes. (2) systematically investigating chemical haze formation on warm neptunes and identify possible systematic trends in observational signatures. (3) exploring the vapor depletion due to cloud condensation on hot gas giants where the distribution of some condensational elements (such AS magnesium and iron) CAN be detected in the upper atmospheres. methodology: we will use a new modeling framework including a 2d (longitude-pressure) bin-scheme aerosol microphysical model with radiative transfer, gas chemistry and zonal wind transport. our approach treats the chemistry and cloud formation in detail but simplifies the atmospheric dynamics. this innovative approach is complementary to the common approach in the field that simulates the clouds in a dynamical model with simplified cloud formation schemes. we will use our models to systematically explore the fundamental mechanisms that govern the aerosol formation, spatial distribution and particle size distribution on hot jupiters and warm neptunes. we will construct synthetic spectra and phase curves based on the simulations and compare with the existing hst and spitzer observations and predict observations for future jwst observations. relevance and perceived significance: this work will not only shed light on the mechanisms underlying various observations of exoplanets to date, but will also provide cutting-edge theoretical tools in aid of interpretation of observations on exoplanets for jwst. the proposed work is directly relevant to the NASA exoplanet research program (xrp) AS our aerosol study will advance our knowledge and understanding of ""the chemical and physical processes of exoplanets (including atmospheres)"". the simulated spectra and light curves will be ""improving the interpretation of data on exoplanetary systems, through collection and interpretation of laboratory data for comparison to observations and/or providing an observationally testable prediction or theory."" this work will ""support past and current NASA missions"" such AS hst, spitzer, jwst and roman, and ""facilitate the formulation and development of future NASA missions and strategic exoplanet programs."" .."
2023,MD,MD-07,"Johns Hopkins University, The",80NSSC22K1752,Modification P00001,NSSC - NASA Shared Services Center,"BALTIMORE, MD (District 07)",06/01/2023,08/31/2025,"Grant, Grant For Research","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$49,926",$0,[None Indicated],,,,Characterizing exoplanetary systems with jwst(student: kadin worthen)
2024,CA,CA-16,Seti Institute,80NSSC17M0074,Modification P00015,NSSC - NASA Shared Services Center,"MOUNTAIN VIEW, CA (District 16)",08/09/2024,08/09/2025, Cooperative Agreement,"Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization",$0,$0,[None Indicated],,,,"The study of brown dwarfs [objects too low in mass to support nuclear reactions in their interiors] and extra SOLAR planets requires a knowledge of the physical characteristics of their atmospheres in order to interpret observations or to construct theoretical models. the purpose of this proposal is to use the latest available data on atomic and molecular transitions to generate tables of opacities over a wide range of temperatures and pressures applicable to these objects. this involves assembling the latest data on various atomic and molecular species and generating detailed opacities using the best available information on spectral line shape and line broadening. a complete suite of computer programs now exists to carry out these tasks and new improvements and upgrades are anticipated AS a PART of this project. currently this data is used extensively to generate theoretical models and to interpret observational data both for our own group and for outside collaborators. AS the quality of the observations of these objects improves due to new and improved instruments and the introduction of future space based telescopes it will become more important to have available the best possible opacity data that, AS FAR AS possible, approaches the quality usually seen in laboratory spectra. a sound knowledge of the characteristics of the spectra of these objects will influence the design of future instruments including space based observatories such AS wfirst and jwst and give a better indication of what they CAN be expected to achieve when in operation."
2024,MS,MS-01,The University Of Mississippi,80NSSC24M0132,Modification P00001,NSSC - NASA Shared Services Center,"UNIVERSITY, MS (District 01)",08/28/2024,08/31/2025, Cooperative Agreement,"Educational - Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity",$0,$0,[None Indicated],,,,Quantum chemical computation of PAH spectral features in the age of jwst
